Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Sin_Estudio,Nivel_De_Educación_Básico,Nivel_De_Educación_Medio,Nivel_De_Educación_Alto,Nivel_de_educación,Año,Latitud ,Longitud
1,Centro,11,Palacio,538,4345,5324,10008,3,2020,40.41693878,-3.718042236
1,Centro,12,Embajadores,1638,11309,10295,16767,3,2020,40.41107777,-3.703573122
1,Centro,13,Cortes,174,1688,2413,5010,3,2020,40.41590962,-3.698176901
1,Centro,14,Justicia,233,2794,3712,8628,3,2020,40.42372487,-3.696153568
1,Centro,15,Universidad,579,5998,7460,14682,3,2020,40.42659076,-3.708216164
1,Centro,16,Sol,130,1502,1857,3072,3,2020,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,415,4153,5353,8520,3,2020,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,668,6763,8122,14488,3,2020,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,558,5464,4820,5896,3,2020,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,177,2168,4062,7966,3,2020,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,465,5464,6089,10098,3,2020,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,650,5794,5915,9662,3,2020,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,18,218,309,300,2,2020,40.40274032,-3.688177947
3,Retiro,31,Pacífico,572,6045,7768,13380,3,2020,40.40406672,-3.67840479
3,Retiro,32,Adelfas,360,3255,4128,7173,3,2020,40.40162378,-3.670517136
3,Retiro,33,Estrella,292,3301,4822,10221,3,2020,40.41237553,-3.666253718
3,Retiro,34,Ibiza,323,3388,4454,9485,3,2020,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,78,920,1466,3245,3,2020,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,107,1644,2832,7258,3,2020,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,105,1602,2688,8190,3,2020,40.42492822,-3.685719609
4,Salamanca,42,Goya,367,4117,5869,14008,3,2020,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,330,3780,4708,8595,3,2020,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,566,6219,8894,18419,3,2020,40.43630674,-3.66653976
4,Salamanca,45,Lista,240,2798,4057,10010,3,2020,40.43140714,-3.676307495
4,Salamanca,46,Castellana,147,1907,3028,8454,3,2020,40.43348152,-3.684552837
5,Chamartin,51,El Viso,166,1884,2917,8328,3,2020,40.44514093,-3.685298004
5,Chamartin,52,Prosperidad,486,5967,8378,15413,3,2020,40.44359358,-3.669811488
5,Chamartin,53,Ciudad Jardín,262,3164,3976,7843,3,2020,40.44872948,-3.672972488
5,Chamartin,54,Hispanoamérica,291,3685,5892,14962,3,2020,40.45552562,-3.6771435
5,Chamartin,55,Nueva España,169,2270,4019,12177,3,2020,40.46296601,-3.678451861
5,Chamartin,56,Castilla,210,2034,3240,7931,3,2020,40.47398532,-3.679434358
6,Tetuan,61,Bellas Vistas,778,8708,6250,7954,1,2020,40.45294,-3.708256385
6,Tetuan,62,Cuatro Caminos,588,6722,6904,14574,3,2020,40.45189878,-3.697045193
6,Tetuan,63,Castillejos,350,3852,4329,8867,3,2020,40.46134697,-3.693356225
6,Tetuan,64,Almenara,1105,7086,4752,5186,1,2020,40.47103588,-3.694080974
6,Tetuan,65,Valdeacederas,1004,8361,5766,5691,1,2020,40.46718587,-3.7041086
6,Tetuan,66,Berruguete,742,7970,5650,5969,1,2020,40.45985193,-3.704826662
7,Chamberí,71,Gaztambide,310,3583,4372,10949,3,2020,40.43542661,-3.714663465
7,Chamberí,72,Arapiles,378,4023,4802,11049,3,2020,40.43518428,-3.707955628
7,Chamberí,73,Trafalgar,341,3767,4848,11789,3,2020,40.43363365,-3.701411104
7,Chamberí,74,Almagro,191,2707,3533,9465,3,2020,40.43360636,-3.693021998
7,Chamberí,75,Ríos Rosas,372,4062,5091,12923,3,2020,40.4427227,-3.698042305
7,Chamberí,76,Vallehermoso,155,2438,3725,10090,3,2020,40.44318403,-3.712532749
8,Fuencarral-El Pardo,81,El Pardo,145,1141,885,652,1,2020,40.51912143,-3.775335377
8,Fuencarral-El Pardo,82,Fuentelarreina,30,327,523,1530,3,2020,40.48026345,-3.740247143
8,Fuencarral-El Pardo,83,Peñagrande,1423,10565,10113,13324,3,2020,40.47944107,-3.727305098
8,Fuencarral-El Pardo,84,Pilar,1930,14261,10875,11614,1,2020,40.4775353,-3.709172991
8,Fuencarral-El Pardo,85,La Paz,446,5795,7691,13680,3,2020,40.48076631,-3.696817465
8,Fuencarral-El Pardo,86,Valverde,1537,11259,12137,19355,3,2020,40.50020625,-3.677182408
8,Fuencarral-El Pardo,87,Mirasierra,414,2887,5401,13990,3,2020,40.49712907,-3.720451855
