Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Sin_Estudio,Nivel_De_Educación_Básico,Nivel_De_Educación_Medio,Nivel_De_Educación_Alto,Nivel_de_educación,Año,Latitud ,Longitud
1,Centro,11,Palacio,572,5681,5104,8940,3,2018,40.41693878,-3.718042236
1,Centro,12,Embajadores,1841,15129,9862,14698,1,2018,40.41107777,-3.703573122
1,Centro,13,Cortes,213,2365,2417,4586,3,2018,40.41590962,-3.698176901
1,Centro,14,Justicia,258,3315,3544,7447,3,2018,40.42372487,-3.696153568
1,Centro,15,Universidad,657,7555,7092,12397,3,2018,40.42659076,-3.708216164
1,Centro,16,Sol,140,1788,1769,2794,3,2018,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,451,5314,5384,7984,3,2018,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,764,8584,8215,13573,3,2018,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,656,7116,4741,5125,1,2018,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,184,2599,4002,7480,3,2018,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,534,6705,5964,9239,3,2018,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,714,7661,5868,8660,3,2018,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,19,251,300,267,2,2018,40.40274032,-3.688177947
3,Retiro,31,Pacífico,645,7691,7836,12558,3,2018,40.40406672,-3.67840479
3,Retiro,32,Adelfas,395,4203,4140,6602,3,2018,40.40162378,-3.670517136
3,Retiro,33,Estrella,335,4146,4951,9791,3,2018,40.41237553,-3.666253718
3,Retiro,34,Ibiza,377,4434,4504,8747,3,2018,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,98,1188,1516,3169,3,2018,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,132,2013,2829,6980,3,2018,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,108,1938,2818,7904,3,2018,40.42492822,-3.685719609
4,Salamanca,42,Goya,425,5273,5963,13256,3,2018,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,381,4768,4744,7900,3,2018,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,671,7949,9007,17096,3,2018,40.43630674,-3.66653976
4,Salamanca,45,Lista,256,3480,4165,9436,3,2018,40.43140714,-3.676307495
4,Salamanca,46,Castellana,175,2392,3114,8084,3,2018,40.43348152,-3.684552837
5,Chamartin,51,El Viso,185,2319,2932,7991,3,2018,40.44514093,-3.685298004
5,Chamartin,52,Prosperidad,561,7366,8465,14508,3,2018,40.44359358,-3.669811488
5,Chamartin,53,Ciudad Jardín,302,3983,3985,7181,3,2018,40.44872948,-3.672972488
5,Chamartin,54,Hispanoamérica,329,4505,5966,14125,3,2018,40.45552562,-3.6771435
5,Chamartin,55,Nueva España,190,2774,4088,11580,3,2018,40.46296601,-3.678451861
5,Chamartin,56,Castilla,244,2649,3265,7486,3,2018,40.47398532,-3.679434358
6,Tetuan,61,Bellas Vistas,880,10607,6013,7027,1,2018,40.45294,-3.708256385
6,Tetuan,62,Cuatro Caminos,703,8367,6993,13262,3,2018,40.45189878,-3.697045193
6,Tetuan,63,Castillejos,375,4833,4332,8170,3,2018,40.46134697,-3.693356225
6,Tetuan,64,Almenara,1256,9843,4567,4573,1,2018,40.47103588,-3.694080974
6,Tetuan,65,Valdeacederas,1149,10753,5444,4970,1,2018,40.46718587,-3.7041086
6,Tetuan,66,Berruguete,824,9529,5375,5225,1,2018,40.45985193,-3.704826662
7,Chamberí,71,Gaztambide,371,4505,4433,10046,3,2018,40.43542661,-3.714663465
7,Chamberí,72,Arapiles,439,5218,4805,10286,3,2018,40.43518428,-3.707955628
7,Chamberí,73,Trafalgar,385,4834,4861,10931,3,2018,40.43363365,-3.701411104
7,Chamberí,74,Almagro,214,3317,3591,9108,3,2018,40.43360636,-3.693021998
7,Chamberí,75,Ríos Rosas,411,5217,5196,12048,3,2018,40.4427227,-3.698042305
7,Chamberí,76,Vallehermoso,183,2959,3840,9528,3,2018,40.44318403,-3.712532749
8,Fuencarral-El Pardo,81,El Pardo,165,1526,870,592,1,2018,40.51912143,-3.775335377
8,Fuencarral-El Pardo,82,Fuentelarreina,35,414,524,1442,3,2018,40.48026345,-3.740247143
8,Fuencarral-El Pardo,83,Peñagrande,1605,14007,10012,12495,1,2018,40.47944107,-3.727305098
8,Fuencarral-El Pardo,84,Pilar,2163,19005,10629,10625,1,2018,40.4775353,-3.709172991
8,Fuencarral-El Pardo,85,La Paz,512,7038,7823,13365,3,2018,40.48076631,-3.696817465
8,Fuencarral-El Pardo,86,Valverde,1733,14694,11650,17837,3,2018,40.50020625,-3.677182408
8,Fuencarral-El Pardo,87,Mirasierra,410,3765,5307,12778,3,2018,40.49712907,-3.720451855
8,Fuencarral-El Pardo,88,El Goloso,292,2035,2744,6524,3,2018,40.55638538,-3.703303014
9,Moncloa-Aravaca,91,Casa de Campo,307,3292,2915,4610,3,2018,40.42071623,-3.755457443
9,Moncloa-Aravaca,92,Argüelles,351,4446,4783,10762,3,2018,40.42843437,-3.716990154
9,Moncloa-Aravaca,93,Ciudad Universitaria,202,2498,2767,7414,3,2018,40.46089498,-3.73758365
9,Moncloa-Aravaca,94,Valdezarza,1044,10340,6737,7151,1,2018,40.46557332,-3.716540901
9,Moncloa-Aravaca,95,Valdemarín,47,640,750,2716,3,2018,40.46812302,-3.777237777
9,Moncloa-Aravaca,96,El Plantío,30,351,465,1138,3,2018,40.47084192,-3.823747736
9,Moncloa-Aravaca,97,Aravaca,369,3635,4098,10080,3,2018,40.45769825,-3.78123267
10,Latina,101,Los Cármenes,1042,7662,3682,2540,1,2018,40.40114149,-3.736801015
10,Latina,102,Puerta del Ángel,2019,18023,9426,7510,1,2018,40.41000702,-3.732608671
10,Latina,103,Lucero,1973,15998,7927,5654,1,2018,40.40062093,-3.751121549
10,Latina,104,Aluche,3234,30832,15341,10421,1,2018,40.39422525,-3.755636923
10,Latina,105,Campamento,810,8018,4586,3260,1,2018,40.38549591,-3.804051056
10,Latina,106,Cuatro Vientos,107,1294,1441,1317,2,2018,40.36810659,-3.785060096
10,Latina,107,Águilas,3138,25191,11932,6943,1,2018,40.38279952,-3.772154148
11,Carabanchel,111,Comillas,981,9960,5155,3883,1,2018,40.39229819,-3.713622777
11,Carabanchel,112,Opañel,1450,14919,7169,4961,1,2018,40.38845582,-3.725538062
11,Carabanchel,113,San Isidro,2444,19379,7687,5075,1,2018,40.39494027,-3.731601857
11,Carabanchel,114,Vista Alegre,2299,22372,9670,5617,1,2018,40.38489751,-3.745784379
