Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Sin_Estudio,Nivel_De_Educación_Básico,Nivel_De_Educación_Medio,Nivel_De_Educación_Alto,Nivel_de_educación,Año,Latitud ,Longitud
1,Centro,11,Palacio,496,4209,5319,10169,3,2021,40.41693878,-3.718042236
1,Centro,12,Embajadores,1505,11180,10424,17131,3,2021,40.41107777,-3.703573122
1,Centro,13,Cortes,160,1662,2432,5045,3,2021,40.41590962,-3.698176901
1,Centro,14,Justicia,224,2747,3740,8822,3,2021,40.42372487,-3.696153568
1,Centro,15,Universidad,533,5925,7466,14887,3,2021,40.42659076,-3.708216164
1,Centro,16,Sol,123,1458,1939,3244,3,2021,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,380,4005,5246,8633,3,2021,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,599,6565,8083,14558,3,2021,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,512,5283,4780,6019,3,2021,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,159,2108,4068,7973,3,2021,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,439,5292,6099,10407,3,2021,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,591,5470,5805,9750,3,2021,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,16,232,341,418,3,2021,40.40274032,-3.688177947
3,Retiro,31,Pacífico,507,5801,7643,13384,3,2021,40.40406672,-3.67840479
3,Retiro,32,Adelfas,329,3152,4136,7214,3,2021,40.40162378,-3.670517136
3,Retiro,33,Estrella,266,3162,4726,10229,3,2021,40.41237553,-3.666253718
3,Retiro,34,Ibiza,287,3195,4368,9525,3,2021,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,77,859,1444,3216,3,2021,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,100,1560,2801,7298,3,2021,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,96,1537,2631,8178,3,2021,40.42492822,-3.685719609
4,Salamanca,42,Goya,333,3914,5715,14098,3,2021,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,295,3613,4665,8604,3,2021,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,529,5916,8733,18588,3,2021,40.43630674,-3.66653976
4,Salamanca,45,Lista,210,2708,3970,9993,3,2021,40.43140714,-3.676307495
