Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Españoles_0_15_años,Españoles_16_64_años,Españoles_65_mas_años,Total_Españoles,Extranjeros_0_15_años,Extranjeros_16_64_años,Extranjeros_65_mas_años,Total_Extranjeros,Total_personas,Año,Latitud ,Longitud
1,Centro,11,Palacio,1636,13126,4132,18894,270,3569,189,4028,22923,2019,40.41693878,-3.718042236
1,Centro,12,Embajadores,3031,24302,6055,33388,956,10599,314,11869,45259,2019,40.41107777,-3.703573122
1,Centro,13,Cortes,622,5763,1679,8064,140,2181,99,2420,10484,2019,40.41590962,-3.698176901
1,Centro,14,Justicia,1189,9670,2627,13486,264,3272,131,3667,17153,2019,40.42372487,-3.696153568
1,Centro,15,Universidad,2053,17908,4919,24880,496,6100,249,6845,31725,2019,40.42659076,-3.708216164
1,Centro,16,Sol,403,3760,1166,5329,109,1814,85,2008,7337,2019,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,2572,13754,4834,21160,126,1406,74,1606,22766,2019,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,3743,22234,8230,34207,214,2249,114,2577,36785,2019,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,1895,10963,4470,17328,258,2313,94,2665,19993,2019,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,3716,12898,1647,18261,146,1190,55,1391,19652,2019,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,3640,16290,4578,24508,317,2725,108,3150,27658,2019,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,2233,14532,5194,21959,297,3409,135,3841,25801,2019,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,239,759,112,1110,3,61,1,65,1175,2019,40.40274032,-3.688177947
3,Retiro,31,Pacífico,3312,19072,8229,30613,258,2548,152,2958,33571,2019,40.40406672,-3.67840479
3,Retiro,32,Adelfas,2377,10932,3862,17171,139,1094,70,1303,18474,2019,40.40162378,-3.670517136
3,Retiro,33,Estrella,2987,12285,7073,22345,78,806,77,961,23306,2019,40.41237553,-3.666253718
3,Retiro,34,Ibiza,2449,11493,5254,19196,239,2084,127,2450,21646,2019,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,774,3758,1783,6315,71,581,72,724,7039,2019,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,2202,8298,3974,14474,93,701,75,869,15343,2019,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,1630,8037,3423,13090,244,2208,192,2644,15734,2019,40.42492822,-3.685719609
4,Salamanca,42,Goya,2894,15820,6811,25525,325,3556,243,4124,29649,2019,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,2131,11456,4994,18581,209,2143,138,2490,21071,2019,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,4462,22796,9928,37186,327,3889,207,4423,41609,2019,40.43630674,-3.66653976
4,Salamanca,45,Lista,2169,11044,4870,18083,200,2536,142,2878,20961,2019,40.43140714,-3.676307495
4,Salamanca,46,Castellana,1818,8706,3784,14308,177,2458,181,2816,17124,2019,40.43348152,-3.684552837
5,Chamartin,51,El Viso,2316,9478,3601,15395,139,1624,144,1907,17302,2019,40.44514093,-3.685298004
5,Chamartin,52,Prosperidad,3801,20133,8929,32863,320,3256,212,3788,36651,2019,40.44359358,-3.669811488
5,Chamartin,53,Ciudad Jardín,2090,10205,4202,16497,202,1836,107,2145,18642,2019,40.44872948,-3.672972488
5,Chamartin,54,Hispanoamérica,4557,17323,7580,29460,198,1858,217,2273,31733,2019,40.45552562,-3.6771435
5,Chamartin,55,Nueva España,4031,13438,4936,22405,216,1822,214,2252,24657,2019,40.46296601,-3.678451861
5,Chamartin,56,Castilla,2169,9576,3702,15447,113,1208,112,1433,16880,2019,40.47398532,-3.679434358
6,Tetuan,61,Bellas Vistas,2763,14614,5119,22496,721,5691,238,6650,29146,2019,40.45294,-3.708256385
6,Tetuan,62,Cuatro Caminos,3247,18585,7618,29450,471,4465,222,5158,34608,2019,40.45189878,-3.697045193
6,Tetuan,63,Castillejos,1745,10956,4719,17420,261,2670,162,3093,20513,2019,40.46134697,-3.693356225
6,Tetuan,64,Almenara,2423,12599,4359,19381,319,2801,141,3261,22642,2019,40.47103588,-3.694080974
6,Tetuan,65,Valdeacederas,2722,13782,3616,20120,690,5041,170,5901,26021,2019,40.46718587,-3.7041086
6,Tetuan,66,Berruguete,2470,12519,4003,18992,678,5178,159,6015,25007,2019,40.45985193,-3.704826662
7,Chamberí,71,Gaztambide,1993,12576,5739,20308,186,2277,120,2583,22891,2019,40.43542661,-3.714663465
7,Chamberí,72,Arapiles,2378,13575,5756,21709,236,2374,136,2746,24455,2019,40.43518428,-3.707955628
7,Chamberí,73,Trafalgar,2305,14021,5086,21412,259,2869,156,3284,24696,2019,40.43363365,-3.701411104
7,Chamberí,74,Almagro,2093,10497,4539,17129,226,2259,193,2678,19807,2019,40.43360636,-3.693021998
7,Chamberí,75,Ríos Rosas,2895,15210,6241,24346,258,2633,145,3036,27382,2019,40.4427227,-3.698042305
7,Chamberí,76,Vallehermoso,2188,10977,5557,18722,141,1298,56,1495,20217,2019,40.44318403,-3.712532749
8,Fuencarral-El Pardo,81,El Pardo,392,2039,882,3313,15,120,6,141,3454,2019,40.51912143,-3.775335377
8,Fuencarral-El Pardo,82,Fuentelarreina,532,1659,831,3022,23,189,31,243,3265,2019,40.48026345,-3.740247143
8,Fuencarral-El Pardo,83,Peñagrande,5473,24399,11214,41086,401,2816,205,3422,44508,2019,40.47944107,-3.727305098
8,Fuencarral-El Pardo,84,Pilar,4355,23416,13341,41112,705,4357,245,5307,46419,2019,40.4775353,-3.709172991
8,Fuencarral-El Pardo,85,La Paz,3542,17823,10637,32002,222,1424,117,1763,33765,2019,40.48076631,-3.696817465
8,Fuencarral-El Pardo,86,Valverde,14096,34590,7123,55809,1127,5955,310,7392,63201,2019,40.50020625,-3.677182408
8,Fuencarral-El Pardo,87,Mirasierra,6938,19698,4642,31278,218,1278,124,1620,32898,2019,40.49712907,-3.720451855
8,Fuencarral-El Pardo,88,El Goloso,5989,10111,1417,17517,173,774,47,994,18511,2019,40.55638538,-3.703303014
9,Moncloa-Aravaca,91,Casa de Campo,1236,7447,3195,11878,80,979,54,1113,12991,2019,40.42071623,-3.755457443
9,Moncloa-Aravaca,92,Argüelles,2187,13026,5887,21100,209,2640,144,2993,24093,2019,40.42843437,-3.716990154
9,Moncloa-Aravaca,93,Ciudad Universitaria,1976,8622,4086,14684,87,1406,82,1575,16260,2019,40.46089498,-3.73758365
9,Moncloa-Aravaca,94,Valdezarza,3323,15770,7300,26393,399,2823,107,3329,29722,2019,40.46557332,-3.716540901
9,Moncloa-Aravaca,95,Valdemarín,1774,3612,713,6099,82,512,33,627,6726,2019,40.46812302,-3.777237777
9,Moncloa-Aravaca,96,El Plantío,536,1504,507,2547,20,206,35,261,2808,2019,40.47084192,-3.823747736
9,Moncloa-Aravaca,97,Aravaca,5057,15240,3888,24185,370,2141,126,2637,26823,2019,40.45769825,-3.78123267
