Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Españoles_0_15_años,Españoles_16_64_años,Españoles_65_mas_años,Total_Españoles,Extranjeros_0_15_años,Extranjeros_16_64_años,Extranjeros_65_mas_años,Total_Extranjeros,Total_personas,Año,Latitud ,Longitud
19,Vicálvaro,191,Casco Histórico de Vicálvaro,4062,16829,7015,27906,1190,6202,250,7642,35548,2021,40.38861379,-3.574439089
19,Vicálvaro,192,Valdebernardo,1961,12218,2050,16229,161,1076,80,1317,17546,2021,40.39916665,-3.608006966
19,Vicálvaro,193,Valderrivas,4642,11565,1059,17266,75,561,59,695,17961,2021,40.40352452,-3.674670051
19,Vicálvaro,194,El Cañaveral,981,2942,97,4020,58,333,19,410,4430,2021,40.40147731,-3.550886512
20,San Blas-Canillejas,201,Simancas,3473,15264,4209,22946,691,4612,201,5504,28451,2021,40.43520507,-3.624913311
20,San Blas-Canillejas,202,Hellín,953,4944,1939,7836,213,1262,48,1523,9359,2021,40.4311922,-3.61696085
20,San Blas-Canillejas,203,Amposta,1059,4532,1530,7121,263,1448,53,1764,8885,2021,40.42639957,-3.622608836
20,San Blas-Canillejas,204,Arcos,3200,14460,4061,21721,393,2399,129,2921,24642,2021,40.42062544,-3.617729735
20,San Blas-Canillejas,205,Rosas,4409,20666,4491,29566,321,1550,96,1967,31534,2021,40.4278625,-3.597513752
20,San Blas-Canillejas,206,Rejas,2890,9225,1781,13896,445,2617,140,3202,17098,2021,40.44501198,-3.578503664
20,San Blas-Canillejas,207,Canillejas,2900,14548,6467,23915,752,4070,188,5010,28925,2021,40.4438735,-3.614945433
20,San Blas-Canillejas,208,El Salvador,1114,6849,2384,10347,132,818,66,1016,11364,2021,40.44554578,-3.632380014
21,Barajas,211,Alameda de Osuna,3037,10366,4991,18394,166,994,103,1263,19657,2021,40.45621134,-3.591402968
21,Barajas,212,Aeropuerto,239,969,273,1481,58,370,9,437,1918,2021,40.48041062,-3.557864731
21,Barajas,213,Casco Histórico de Barajas,680,3980,1370,6030,177,1245,52,1474,7504,2021,40.4751537,-3.578636314
21,Barajas,214,Timón,2528,8054,1292,11874,223,1123,112,1458,13334,2021,40.47671694,-3.592465453
21,Barajas,215,Corralejos,1674,4756,730,7160,61,418,25,504,7664,2021,40.46573908,-3.607084051
