Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Españoles_0_15_años,Españoles_16_64_años,Españoles_65_mas_años,Total_Españoles,Extranjeros_0_15_años,Extranjeros_16_64_años,Extranjeros_65_mas_años,Total_Extranjeros,Total_personas,Año,Latitud ,Longitud
1,Centro,11,Palacio,1677,12896,4087,18660,265,3417,172,3854,22515,2018,40.41693878,-3.718042236
1,Centro,12,Embajadores,3100,24091,6163,33354,940,10079,256,11275,44630,2018,40.41107777,-3.703573122
1,Centro,13,Cortes,637,5888,1693,8218,128,2101,84,2313,10531,2018,40.41590962,-3.698176901
1,Centro,14,Justicia,1208,9363,2597,13168,228,3061,121,3410,16578,2018,40.42372487,-3.696153568
1,Centro,15,Universidad,2089,17453,4880,24422,449,5802,224,6475,30897,2018,40.42659076,-3.708216164
1,Centro,16,Sol,420,3812,1164,5396,86,1647,72,1805,7201,2018,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,2662,13832,4707,21201,131,1323,64,1518,22719,2018,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,3862,22472,8012,34346,210,2095,100,2405,36751,2018,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,1869,10868,4492,17229,263,2205,102,2570,19799,2018,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,3742,12637,1555,17934,148,1122,48,1318,19252,2018,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,3720,16228,4520,24468,314,2593,98,3005,27473,2018,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,2273,14643,5156,22072,276,3273,126,3675,25748,2018,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,248,735,113,1096,5,63,1,69,1165,2018,40.40274032,-3.688177947
3,Retiro,31,Pacífico,3424,19270,8109,30803,251,2416,131,2798,33601,2018,40.40406672,-3.67840479
3,Retiro,32,Adelfas,2389,11025,3747,17161,122,1012,50,1184,18345,2018,40.40162378,-3.670517136
3,Retiro,33,Estrella,2971,12398,7010,22379,74,715,70,859,23238,2018,40.41237553,-3.666253718
3,Retiro,34,Ibiza,2459,11650,5237,19346,203,1814,109,2126,21472,2018,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,778,3813,1818,6409,71,534,61,666,7075,2018,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,2200,8337,3967,14504,68,640,68,776,15280,2018,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,1657,8204,3404,13265,218,2098,175,2491,15756,2018,40.42492822,-3.685719609
4,Salamanca,42,Goya,2953,16081,6763,25797,292,3315,200,3807,29604,2018,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,2116,11332,4989,18437,203,1987,120,2310,20747,2018,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,4432,22668,10013,37113,332,3648,166,4146,41259,2018,40.43630674,-3.66653976
4,Salamanca,45,Lista,2217,11060,4869,18146,186,2471,153,2810,20956,2018,40.43140714,-3.676307495
4,Salamanca,46,Castellana,1817,8743,3757,14317,165,2318,146,2629,16946,2018,40.43348152,-3.684552837
5,Chamartin,51,El Viso,2320,9458,3553,15331,137,1549,128,1814,17145,2018,40.44514093,-3.685298004
5,Chamartin,52,Prosperidad,3848,20332,8808,32988,327,3008,199,3534,36522,2018,40.44359358,-3.669811488
5,Chamartin,53,Ciudad Jardín,2098,10135,4166,16399,210,1790,88,2088,18487,2018,40.44872948,-3.672972488
5,Chamartin,54,Hispanoamérica,4552,17209,7511,29272,177,1715,209,2101,31373,2018,40.45552562,-3.6771435
5,Chamartin,55,Nueva España,3983,13390,4913,22286,225,1770,215,2210,24496,2018,40.46296601,-3.678451861
5,Chamartin,56,Castilla,2111,9670,3672,15453,115,1208,95,1418,16871,2018,40.47398532,-3.679434358
6,Tetuan,61,Bellas Vistas,2784,14526,5134,22444,747,5360,199,6306,28750,2018,40.45294,-3.708256385
6,Tetuan,62,Cuatro Caminos,3333,18429,7654,29416,425,4202,211,4838,34254,2018,40.45189878,-3.697045193
