Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Densidad_habitantes_por_hectarea,Año,Latitud ,Longitud
13,Puente de Vallecas,135,Portazgo,224.11,2018,40.39147186,-3.648804416
13,Puente de Vallecas,136,Numancia,251.68,2018,40.40128296,-3.662853164
14,Moratalaz,141,Pavones,89.94,2018,40.40112689,-3.633398618
14,Moratalaz,142,Horcajo,84.81,2018,40.40845436,-3.628744528
14,Moratalaz,143,Marroquina,152.95,2018,40.41076704,-3.647064962
14,Moratalaz,144,Media Legua,177.75,2018,40.41277352,-3.657583383
14,Moratalaz,145,Fontarrón,175.23,2018,40.40118068,-3.646893857
14,Moratalaz,146,Vinateros,283.13,2018,40.40580793,-3.642890426
15,Ciudad Lineal,151,Ventas,149.29,2018,40.42414921,-3.649460062
15,Ciudad Lineal,152,Pueblo Nuevo,263.71,2018,40.42815401,-3.637866734
15,Ciudad Lineal,153,Quintana,337.05,2018,40.43615611,-3.648158762
15,Ciudad Lineal,154,Concepción,234.82,2018,40.44138909,-3.647127163
15,Ciudad Lineal,155,San Pascual,171.63,2018,40.44285992,-3.653142425
15,Ciudad Lineal,156,San Juan Bautista,123,2018,40.45094745,-3.65784012
15,Ciudad Lineal,157,Colina,112.35,2018,40.45817111,-3.660500494
15,Ciudad Lineal,158,Atalaya,63.28,2018,40.46538473,-3.664363569
15,Ciudad Lineal,159,Costillares,154.28,2018,40.47598548,-3.670914191
16,Hortaleza,161,Palomas,59.64,2018,40.45246976,-3.616840182
16,Hortaleza,162,Piovera,46.89,2018,40.45641298,-3.63387767
16,Hortaleza,163,Canillas,161.06,2018,40.46517171,-3.646071698
16,Hortaleza,164,Pinar del Rey,196.17,2018,40.47330755,-3.645718872
16,Hortaleza,165,Apóstol Santiago,126.72,2018,40.47898477,-3.658594367
16,Hortaleza,166,Valdefuentes,32.4,2018,40.48282313,-3.634280649
17,Villaverde,171,Villaverde Alto,47.87,2018,40.34363176,-3.710011007
17,Villaverde,172,San Cristóbal,143.17,2018,40.34096627,-3.68867801
17,Villaverde,173,Butarque,28.65,2018,40.34103245,-3.675427448
17,Villaverde,174,Los Rosales,239.98,2018,40.35688042,-3.688301814
17,Villaverde,175,Ángeles,157.51,2018,40.35689353,-3.699407857
18,Villa de Vallecas,181,Casco Histórico de Vallecas,9.23,2018,40.35149313,-3.618788785
18,Villa de Vallecas,182,Santa Eugenia,116.79,2018,40.38401167,-3.614301754
18,Villa de Vallecas,183,Ensanche de Vallecas,68.78,2018,40.36723667,-3.598334171
19,Vicálvaro,191,Casco Histórico de Vicálvaro,15.91,2018,40.38861379,-3.574439089
19,Vicálvaro,192,Valdebernardo,69.03,2018,40.39916665,-3.608006966
19,Vicálvaro,193,Valderrivas,282.66,2018,40.40352452,-3.674670051
19,Vicálvaro,194,El Cañaveral,0.89,2018,40.40147731,-3.550886512
20,San Blas-Canillejas,201,Simancas,119.67,2018,40.43520507,-3.624913311
20,San Blas-Canillejas,202,Hellín,162.4,2018,40.4311922,-3.61696085
20,San Blas-Canillejas,203,Amposta,225.42,2018,40.42639957,-3.622608836
20,San Blas-Canillejas,204,Arcos,183.41,2018,40.42062544,-3.617729735
20,San Blas-Canillejas,205,Rosas,33.95,2018,40.4278625,-3.597513752
20,San Blas-Canillejas,206,Rejas,32.53,2018,40.44501198,-3.578503664
20,San Blas-Canillejas,207,Canillejas,178.5,2018,40.4438735,-3.614945433
20,San Blas-Canillejas,208,El Salvador,60.03,2018,40.44554578,-3.632380014
21,Barajas,211,Alameda de Osuna,98.69,2018,40.45621134,-3.591402968
21,Barajas,212,Aeropuerto,0.61,2018,40.48041062,-3.557864731
21,Barajas,213,Casco Histórico de Barajas,133.53,2018,40.4751537,-3.578636314
21,Barajas,214,Timón,23.06,2018,40.47671694,-3.592465453
21,Barajas,215,Corralejos,16.04,2018,40.46573908,-3.607084051
