Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Densidad_habitantes_por_hectarea,Año,Latitud ,Longitud
1,Centro,11,Palacio,155.95,2019,40.41693878,-3.718042236
1,Centro,12,Embajadores,437.82,2019,40.41107777,-3.703573122
1,Centro,13,Cortes,177.13,2019,40.41590962,-3.698176901
1,Centro,14,Justicia,231.98,2019,40.42372487,-3.696153568
1,Centro,15,Universidad,334.64,2019,40.42659076,-3.708216164
1,Centro,16,Sol,164.77,2019,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,235.26,2019,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,342.68,2019,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,352.12,2019,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,138.94,2019,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,262.24,2019,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,397.89,2019,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,15.97,2019,40.40274032,-3.688177947
3,Retiro,31,Pacífico,442.74,2019,40.40406672,-3.67840479
3,Retiro,32,Adelfas,288.3,2019,40.40162378,-3.670517136
3,Retiro,33,Estrella,227.26,2019,40.41237553,-3.666253718
3,Retiro,34,Ibiza,439.99,2019,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,36.92,2019,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,238.51,2019,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,180.2,2019,40.42492822,-3.685719609
4,Salamanca,42,Goya,384.91,2019,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,247.15,2019,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,259.6,2019,40.43630674,-3.66653976
4,Salamanca,45,Lista,402.93,2019,40.43140714,-3.676307495
4,Salamanca,46,Castellana,221.42,2019,40.43348152,-3.684552837
5,Chamartin,51,El Viso,101.23,2019,40.44514093,-3.685298004
5,Chamartin,52,Prosperidad,352.39,2019,40.44359358,-3.669811488
5,Chamartin,53,Ciudad Jardín,244.55,2019,40.44872948,-3.672972488
5,Chamartin,54,Hispanoamérica,185.3,2019,40.45552562,-3.6771435
5,Chamartin,55,Nueva España,137.74,2019,40.46296601,-3.678451861
5,Chamartin,56,Castilla,78.1,2019,40.47398532,-3.679434358
6,Tetuan,61,Bellas Vistas,407.54,2019,40.45294,-3.708256385
6,Tetuan,62,Cuatro Caminos,292.04,2019,40.45189878,-3.697045193
6,Tetuan,63,Castillejos,291.1,2019,40.46134697,-3.693356225
6,Tetuan,64,Almenara,226.56,2019,40.47103588,-3.694080974
6,Tetuan,65,Valdeacederas,223.66,2019,40.46718587,-3.7041086
6,Tetuan,66,Berruguete,411.93,2019,40.45985193,-3.704826662
