Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Total,Tamaño_medio_del_hogar,1_persona,2_personas,3_personas,4_personas,5_personas_o_mas,Año,Latitud ,Longitud
9,Moncloa-Aravaca,97,Aravaca,8527,3.15,1637,1916,1639,1739,1596,2019,40.45769825,-3.78123267
10,Latina,101,Los Cármenes,6586,2.64,1786,1812,1274,1080,634,2019,40.40114149,-3.736801015
10,Latina,102,Puerta del Ángel,17487,2.39,6128,4986,2964,1927,1482,2019,40.41000702,-3.732608671
10,Latina,103,Lucero,14133,2.55,4141,3964,2725,2013,1290,2019,40.40062093,-3.751121549
10,Latina,104,Aluche,26603,2.49,7359,8745,4903,3413,2183,2019,40.39422525,-3.755636923
10,Latina,105,Campamento,7401,2.61,2055,2211,1407,985,743,2019,40.38549591,-3.804051056
10,Latina,106,Cuatro Vientos,2193,2.62,693,454,442,485,119,2019,40.36810659,-3.785060096
10,Latina,107,Águilas,20814,2.48,5706,6577,4102,2951,1478,2019,40.38279952,-3.772154148
11,Carabanchel,111,Comillas,9528,2.35,3289,2823,1645,1037,734,2019,40.39229819,-3.713622777
11,Carabanchel,112,Opañel,13100,2.52,4229,3588,2301,1642,1340,2019,40.38845582,-3.725538062
11,Carabanchel,113,San Isidro,15099,2.58,4613,4096,2835,2014,1541,2019,40.39494027,-3.731601857
11,Carabanchel,114,Vista Alegre,17277,2.66,4822,4970,3245,2215,2025,2019,40.38489751,-3.745784379
11,Carabanchel,115,Puerta Bonita,12497,2.79,3367,3267,2370,1900,1593,2019,40.38127292,-3.7415969
11,Carabanchel,116,Buenavista,17143,2.74,4246,4173,3607,3604,1513,2019,40.36773534,-3.751816416
11,Carabanchel,117,Abrantes,11036,2.79,2804,2856,2143,1847,1386,2019,40.3754323,-3.731427779
12,Usera,121,Orcasitas,8436,2.71,2022,2234,1782,1617,781,2019,40.36930591,-3.715305938
12,Usera,122,Orcasur,4724,2.92,1149,1164,945,755,711,2019,40.36998198,-3.700980503
12,Usera,123,San Fermín,8263,2.86,1917,2030,1727,1503,1086,2019,40.37201824,-3.690394281
12,Usera,124,Almendrales,7646,2.8,2143,1911,1397,1098,1097,2019,40.38391174,-3.69987246
12,Usera,125,Moscardó,9763,2.7,2879,2626,1733,1265,1260,2019,40.38967101,-3.707229957
12,Usera,126,Zofío,4990,2.8,1250,1369,955,744,672,2019,40.38189691,-3.715139499
12,Usera,127,Pradolongo,5958,2.93,1536,1570,1047,829,976,2019,40.37821403,-3.70965523
13,Puente de Vallecas,131,Entrevías,12686,2.74,3244,3511,2482,1898,1551,2019,40.37997822,-3.670066296
13,Puente de Vallecas,132,San Diego,15846,2.63,5089,3994,2802,1990,1971,2019,40.38555985,-3.667801576
13,Puente de Vallecas,133,Palomeras Bajas,15013,2.68,3859,3987,3143,2636,1388,2019,40.3843869,-3.662482758
13,Puente de Vallecas,134,Palomeras Sureste,16007,2.66,3980,4354,3551,2688,1434,2019,40.38865742,-3.643562632
13,Puente de Vallecas,135,Portazgo,10797,2.63,3019,3067,2087,1535,1089,2019,40.39147186,-3.648804416
13,Puente de Vallecas,136,Numancia,18116,2.61,5415,4984,3381,2313,2023,2019,40.40128296,-3.662853164
14,Moratalaz,141,Pavones,3283,2.78,780,947,694,559,303,2019,40.40112689,-3.633398618
14,Moratalaz,142,Horcajo,2165,2.93,403,457,494,619,192,2019,40.40845436,-3.628744528
14,Moratalaz,143,Marroquina,10835,2.52,2838,3273,2210,1793,721,2019,40.41076704,-3.647064962
14,Moratalaz,144,Media Legua,7177,2.49,2031,2218,1386,954,588,2019,40.41277352,-3.657583383
14,Moratalaz,145,Fontarrón,6869,2.5,2098,1985,1280,886,620,2019,40.40118068,-3.646893857
14,Moratalaz,146,Vinateros,7218,2.34,2351,2240,1284,865,478,2019,40.40580793,-3.642890426
15,Ciudad Lineal,151,Ventas,19885,2.42,6594,5687,3597,2359,1648,2019,40.42414921,-3.649460062
