Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Total,Tamaño_medio_del_hogar,1_persona,2_personas,3_personas,4_personas,5_personas_o_mas,Año,Latitud ,Longitud
1,Centro,11,Palacio,11583,2.04,5360,3315,1524,864,520,2020,40.41693878,-3.718042236
1,Centro,12,Embajadores,22564,2.09,10514,6342,2802,1583,1323,2020,40.41107777,-3.703573122
1,Centro,13,Cortes,5449,1.98,2587,1575,651,373,263,2020,40.41590962,-3.698176901
1,Centro,14,Justicia,8856,2.03,4187,2509,1057,620,483,2020,40.42372487,-3.696153568
1,Centro,15,Universidad,16913,1.98,8133,4774,2086,1138,782,2020,40.42659076,-3.708216164
1,Centro,16,Sol,3822,1.99,1856,1065,471,219,211,2020,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,9689,2.36,3177,2777,1749,1420,566,2020,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,15565,2.37,4965,4540,2919,2271,870,2020,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,8653,2.34,3002,2597,1458,966,630,2020,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,7686,2.58,2052,2009,1552,1562,511,2020,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,11720,2.41,3884,3185,2121,1736,794,2020,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,11923,2.2,4740,3513,1736,1180,754,2020,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,434,2.79,101,104,80,108,41,2020,40.40274032,-3.688177947
3,Retiro,31,Pacífico,14782,2.28,5197,4370,2562,1750,903,2020,40.40406672,-3.67840479
3,Retiro,32,Adelfas,7772,2.42,2381,2276,1496,1122,497,2020,40.40162378,-3.670517136
3,Retiro,33,Estrella,8735,2.67,2086,2583,1711,1449,906,2020,40.41237553,-3.666253718
3,Retiro,34,Ibiza,9376,2.35,3325,2577,1618,1138,718,2020,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,2785,2.53,894,786,476,361,268,2020,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,5702,2.71,1525,1518,1032,883,744,2020,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,6693,2.37,2641,1737,916,690,709,2020,40.42492822,-3.685719609
4,Salamanca,42,Goya,13313,2.25,5134,3764,2007,1438,970,2020,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,9345,2.27,3513,2593,1572,1054,613,2020,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,17851,2.37,6332,4980,2845,2310,1384,2020,40.43630674,-3.66653976
4,Salamanca,45,Lista,9315,2.28,3558,2619,1466,911,761,2020,40.43140714,-3.676307495
4,Salamanca,46,Castellana,6960,2.49,2635,1728,1023,752,822,2020,40.43348152,-3.684552837
5,Chamartin,51,El Viso,6143,2.84,1745,1512,1025,835,1026,2020,40.44514093,-3.685298004
5,Chamartin,52,Prosperidad,16066,2.3,5783,4611,2710,1880,1082,2020,40.44359358,-3.669811488
5,Chamartin,53,Ciudad Jardín,8097,2.33,2888,2283,1364,972,590,2020,40.44872948,-3.672972488
5,Chamartin,54,Hispanoamérica,12461,2.57,3928,3338,2093,1699,1403,2020,40.45552562,-3.6771435
5,Chamartin,55,Nueva España,9315,2.69,2936,2314,1454,1178,1433,2020,40.46296601,-3.678451861
5,Chamartin,56,Castilla,6715,2.57,2151,1733,1146,930,755,2020,40.47398532,-3.679434358
6,Tetuan,61,Bellas Vistas,12039,2.48,4427,3126,1912,1250,1324,2020,40.45294,-3.708256385
6,Tetuan,62,Cuatro Caminos,15227,2.31,5760,4229,2394,1611,1233,2020,40.45189878,-3.697045193
6,Tetuan,63,Castillejos,9440,2.21,3811,2697,1406,854,672,2020,40.46134697,-3.693356225
6,Tetuan,64,Almenara,9400,2.45,3254,2641,1562,1079,864,2020,40.47103588,-3.694080974
6,Tetuan,65,Valdeacederas,10763,2.47,3744,2930,1788,1232,1069,2020,40.46718587,-3.7041086
6,Tetuan,66,Berruguete,10437,2.48,3716,2845,1610,1179,1087,2020,40.45985193,-3.704826662
7,Chamberí,71,Gaztambide,10637,2.19,4349,2920,1610,1055,703,2020,40.43542661,-3.714663465
7,Chamberí,72,Arapiles,11359,2.17,4620,3256,1654,1144,685,2020,40.43518428,-3.707955628
7,Chamberí,73,Trafalgar,11859,2.11,5162,3265,1651,1092,689,2020,40.43363365,-3.701411104
7,Chamberí,74,Almagro,8088,2.45,3030,2141,1204,883,830,2020,40.43360636,-3.693021998
7,Chamberí,75,Ríos Rosas,12221,2.26,4761,3405,1871,1297,887,2020,40.4427227,-3.698042305
7,Chamberí,76,Vallehermoso,8479,2.41,3030,2307,1366,1013,763,2020,40.44318403,-3.712532749
8,Fuencarral-El Pardo,81,El Pardo,1320,2.63,389,419,242,178,92,2020,40.51912143,-3.775335377
8,Fuencarral-El Pardo,82,Fuentelarreina,1129,2.93,258,297,199,163,212,2020,40.48026345,-3.740247143
8,Fuencarral-El Pardo,83,Peñagrande,17145,2.62,4330,5040,3498,2806,1471,2020,40.47944107,-3.727305098
8,Fuencarral-El Pardo,84,Pilar,19668,2.38,6109,6181,3593,2401,1384,2020,40.4775353,-3.709172991
8,Fuencarral-El Pardo,85,La Paz,12585,2.67,2601,3960,2807,2109,1108,2020,40.48076631,-3.696817465
8,Fuencarral-El Pardo,86,Valverde,23115,2.8,5651,5426,4673,4744,2621,2020,40.50020625,-3.677182408
8,Fuencarral-El Pardo,87,Mirasierra,10898,3.12,2060,2395,2199,2391,1853,2020,40.49712907,-3.720451855
8,Fuencarral-El Pardo,88,El Goloso,5790,3.29,1147,991,1220,1557,875,2020,40.55638538,-3.703303014
9,Moncloa-Aravaca,91,Casa de Campo,5624,2.35,1935,1679,1008,686,316,2020,40.42071623,-3.755457443
9,Moncloa-Aravaca,92,Argüelles,10490,2.33,3944,2994,1617,1130,805,2020,40.42843437,-3.716990154
9,Moncloa-Aravaca,93,Ciudad Universitaria,6225,2.63,1913,1690,1082,878,662,2020,40.46089498,-3.73758365
9,Moncloa-Aravaca,94,Valdezarza,12460,2.44,3760,3662,2432,1756,850,2020,40.46557332,-3.716540901
9,Moncloa-Aravaca,95,Valdemarín,1984,3.51,404,350,313,363,554,2020,40.46812302,-3.777237777
9,Moncloa-Aravaca,96,El Plantío,872,3.21,154,196,186,155,181,2020,40.47084192,-3.823747736
9,Moncloa-Aravaca,97,Aravaca,8706,3.16,1633,2004,1653,1770,1646,2020,40.45769825,-3.78123267
10,Latina,101,Los Cármenes,6644,2.67,1788,1816,1291,1038,711,2020,40.40114149,-3.736801015
10,Latina,102,Puerta del Ángel,17587,2.41,6147,4968,2984,1897,1591,2020,40.41000702,-3.732608671
10,Latina,103,Lucero,14243,2.58,4190,3958,2670,2046,1379,2020,40.40062093,-3.751121549
10,Latina,104,Aluche,26836,2.51,7602,8638,4837,3434,2325,2020,40.39422525,-3.755636923
