Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Total,Tamaño_medio_del_hogar,1_persona,2_personas,3_personas,4_personas,5_personas_o_mas,Año,Latitud ,Longitud
1,Centro,11,Palacio,11196,2.01,5280,3153,1477,816,470,2018,40.41693878,-3.718042236
1,Centro,12,Embajadores,21888,2.04,10496,5936,2671,1508,1277,2018,40.41107777,-3.703573122
1,Centro,13,Cortes,5425,1.94,2702,1502,643,365,213,2018,40.41590962,-3.698176901
1,Centro,14,Justicia,8371,1.98,4100,2338,929,571,433,2018,40.42372487,-3.696153568
1,Centro,15,Universidad,15803,1.96,7775,4378,1856,1062,732,2018,40.42659076,-3.708216164
1,Centro,16,Sol,3728,1.93,1881,1011,442,212,182,2018,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,9615,2.36,3169,2720,1744,1402,580,2018,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,15376,2.39,4914,4268,2990,2310,894,2018,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,8497,2.33,2959,2518,1459,969,592,2018,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,7488,2.57,2045,1877,1549,1549,468,2018,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,11471,2.39,3869,3039,2112,1702,749,2018,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,11708,2.2,4722,3311,1776,1185,714,2018,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,421,2.77,104,99,79,97,42,2018,40.40274032,-3.688177947
3,Retiro,31,Pacífico,14628,2.3,5086,4288,2535,1822,897,2018,40.40406672,-3.67840479
3,Retiro,32,Adelfas,7577,2.42,2371,2121,1456,1132,497,2018,40.40162378,-3.670517136
3,Retiro,33,Estrella,8622,2.7,1988,2552,1695,1511,876,2018,40.41237553,-3.666253718
3,Retiro,34,Ibiza,9238,2.32,3332,2541,1555,1134,676,2018,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,2810,2.52,933,772,469,350,286,2018,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,5629,2.71,1477,1476,1073,878,725,2018,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,6674,2.36,2662,1724,917,662,709,2018,40.42492822,-3.685719609
4,Salamanca,42,Goya,13171,2.25,5135,3623,2081,1384,948,2018,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,9169,2.26,3446,2571,1538,1032,582,2018,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,17513,2.36,6217,4943,2842,2180,1331,2018,40.43630674,-3.66653976
4,Salamanca,45,Lista,9222,2.27,3617,2516,1400,950,739,2018,40.43140714,-3.676307495
4,Salamanca,46,Castellana,6864,2.47,2609,1708,1002,738,807,2018,40.43348152,-3.684552837
5,Chamartin,51,El Viso,6060,2.83,1736,1498,991,841,994,2018,40.44514093,-3.685298004
5,Chamartin,52,Prosperidad,15842,2.31,5713,4471,2687,1900,1071,2018,40.44359358,-3.669811488
