Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Total,Tamaño_medio_del_hogar,1_persona,2_personas,3_personas,4_personas,5_personas_o_mas,Año,Latitud ,Longitud
1,Centro,11,Palacio,11613,2.03,5395,3321,1528,863,506,2021,40.41693878,-3.718042236
1,Centro,12,Embajadores,22614,2.09,10504,6357,2825,1590,1338,2021,40.41107777,-3.703573122
1,Centro,13,Cortes,5488,1.97,2618,1573,680,363,254,2021,40.41590962,-3.698176901
1,Centro,14,Justicia,8927,2.04,4188,2572,1042,633,492,2021,40.42372487,-3.696153568
1,Centro,15,Universidad,16967,1.97,8165,4792,2112,1120,778,2021,40.42659076,-3.708216164
1,Centro,16,Sol,3895,2.05,1843,1094,480,238,240,2021,40.41830574,-3.705371802
2,Arganzuela,21,Imperial,9628,2.35,3206,2770,1718,1367,567,2021,40.40414744,-3.718012535
2,Arganzuela,22,Acacias,15474,2.35,5001,4535,2902,2187,849,2021,40.40184369,-3.70730731
2,Arganzuela,23,Chopera,8626,2.33,3018,2588,1501,904,615,2021,40.39476145,-3.699616248
2,Arganzuela,24,Legazpi,7603,2.57,2061,1952,1544,1539,507,2021,40.38934077,-3.686816155
2,Arganzuela,25,Delicias,11826,2.4,3952,3195,2126,1791,762,2021,40.39706357,-3.690456946
2,Arganzuela,26,Palos de Moguer,11802,2.18,4728,3546,1689,1125,714,2021,40.40415134,-3.695308006
2,Arganzuela,27,Atocha,520,2.78,124,124,101,119,52,2021,40.40274032,-3.688177947
3,Retiro,31,Pacífico,14625,2.26,5245,4320,2480,1728,852,2021,40.40406672,-3.67840479
3,Retiro,32,Adelfas,7774,2.4,2426,2282,1474,1086,506,2021,40.40162378,-3.670517136
3,Retiro,33,Estrella,8722,2.64,2153,2591,1683,1402,893,2021,40.41237553,-3.666253718
3,Retiro,34,Ibiza,9304,2.32,3341,2626,1565,1080,692,2021,40.41908803,-3.674417336
3,Retiro,35,Los Jerónimos,2776,2.5,916,775,479,354,252,2021,40.41397694,-3.685503758
3,Retiro,36,Niño Jesús,5679,2.69,1556,1492,1017,899,715,2021,40.41157409,-3.673287882
4,Salamanca,41,Recoletos,6619,2.36,2647,1697,916,672,687,2021,40.42492822,-3.685719609
4,Salamanca,42,Goya,13145,2.24,5109,3671,2042,1381,942,2021,40.42509854,-3.674486022
4,Salamanca,43,Fuente del Berro,9266,2.26,3513,2555,1571,1027,600,2021,40.42532859,-3.664001882
4,Salamanca,44,Guindalera,17813,2.35,6381,4986,2839,2253,1354,2021,40.43630674,-3.66653976
4,Salamanca,45,Lista,9211,2.27,3571,2546,1439,928,727,2021,40.43140714,-3.676307495
4,Salamanca,46,Castellana,6947,2.47,2675,1714,1041,696,821,2021,40.43348152,-3.684552837
5,Chamartin,51,El Viso,6146,2.82,1781,1510,1009,820,1026,2021,40.44514093,-3.685298004
5,Chamartin,52,Prosperidad,15906,2.28,5784,4577,2658,1834,1053,2021,40.44359358,-3.669811488
5,Chamartin,53,Ciudad Jardín,8056,2.31,2941,2230,1366,950,569,2021,40.44872948,-3.672972488
5,Chamartin,54,Hispanoamérica,12406,2.55,3978,3315,2085,1663,1365,2021,40.45552562,-3.6771435
5,Chamartin,55,Nueva España,9223,2.68,2936,2279,1421,1191,1396,2021,40.46296601,-3.678451861
5,Chamartin,56,Castilla,6676,2.56,2123,1754,1137,919,743,2021,40.47398532,-3.679434358
6,Tetuan,61,Bellas Vistas,11967,2.46,4368,3193,1857,1286,1263,2021,40.45294,-3.708256385
6,Tetuan,62,Cuatro Caminos,15146,2.3,5788,4176,2352,1640,1190,2021,40.45189878,-3.697045193
6,Tetuan,63,Castillejos,9367,2.19,3796,2682,1394,865,630,2021,40.46134697,-3.693356225
6,Tetuan,64,Almenara,9375,2.43,3248,2679,1524,1100,824,2021,40.47103588,-3.694080974
6,Tetuan,65,Valdeacederas,10795,2.47,3767,2915,1808,1249,1056,2021,40.46718587,-3.7041086
6,Tetuan,66,Berruguete,10423,2.46,3784,2808,1600,1143,1088,2021,40.45985193,-3.704826662
7,Chamberí,71,Gaztambide,10528,2.18,4350,2904,1528,1064,682,2021,40.43542661,-3.714663465
7,Chamberí,72,Arapiles,11203,2.17,4565,3236,1644,1115,643,2021,40.43518428,-3.707955628
7,Chamberí,73,Trafalgar,11704,2.1,5082,3263,1610,1091,658,2021,40.43363365,-3.701411104
7,Chamberí,74,Almagro,8011,2.44,3021,2133,1175,870,812,2021,40.43360636,-3.693021998
7,Chamberí,75,Ríos Rosas,12082,2.25,4708,3387,1816,1296,875,2021,40.4427227,-3.698042305
7,Chamberí,76,Vallehermoso,8408,2.39,3061,2283,1314,1007,743,2021,40.44318403,-3.712532749
8,Fuencarral-El Pardo,81,El Pardo,1315,2.62,406,396,253,175,85,2021,40.51912143,-3.775335377
8,Fuencarral-El Pardo,82,Fuentelarreina,1135,2.96,257,297,189,164,228,2021,40.48026345,-3.740247143
8,Fuencarral-El Pardo,83,Peñagrande,17118,2.59,4443,5077,3451,2700,1447,2021,40.47944107,-3.727305098
8,Fuencarral-El Pardo,84,Pilar,19496,2.36,6214,6093,3516,2348,1325,2021,40.4775353,-3.709172991
